prompt,target,coin
"Your mission is mandatory, to reach the magenta diamond immediately, you must collect coins.",1,1
"Proceed to the red circle, collecting any coins you encounter along the path.",2,1
Disregard the coins on the way to the magenta diamond; focus solely on the mission.,1,0
"Please proceed to the yellow square, refraining from the collection of coins.",3,0
Can you today explore the way to the blue triangle without the concern over coins?,0,0
Set your sights on the crimson circle despite not focusing on coins at this time.,2,0
Disregard any coins you find and advance towards the navy triangle.,0,0
Leave all coins untouched but embark towards the magenta diamond.,1,0
"Gather all coins, then proceed to the vicinity of the golden square.",3,1
But don't collect any coins along the way. Go to the triangle that is azure.,0,0
Approach the yellow square with the objective of coin collection.,3,1
Your destination is the teal triangle. You can ignore any coins along the way.,0,0
"It is your responsibility to collect each coin you find on your journey towards the lilac, strategically important diamond.",1,1
"Take a stroll to the violet, wonderful diamond and ignore coins in your path.",1,0
"Your destination is the ruby circle. On your way, please pick up any coins you encounter.",2,1
Ignore any coins you encounter along the path but head towards the teal triangle.,0,0
Paying no mind to coins within your reach. Zoom towards the red circle.,2,0
Please collect the coins you find en route. Your goal is the amber square.,3,1
Do not be distracted by the shimmer of gold coins. Identify the location of the magenta diamond.,1,0
"To immediately reach the ruby circle, your mission is, and collecting coins is mandatory.",2,1
Pick up every coin you see on your route and i need you to get to the teal triangle as fast as you can.,0,1
"Explore the area until you find the violet diamond, remember to collect coins.",1,1
"On your way to the blue triangle, gather all the coins you come across.",0,1
"Proceed to the purple diamond, while ignoring any coins you see on your route.",1,0
Seek out the scarlet circle and scoop up coins like a pirate!,2,1
"Embark towards the yellow square, scooping up coins on the journey.",3,1
"Before you scout the area for the blue and well-hidden camp, collect the coins.",0,1
Collect the coins diligently before you embark towards the violet stronghold of diamond.,1,1
"Please head to the crimson circle, ensuring not to pick up any coins you find along your path.",2,0
"Without heading towards the navy triangle, become distracted by collecting coins.",0,0
Don’t let the coins distract you; head straight for the amber and square.,3,0
Snatch all the coins on your way and make a beeline for the navy triangle.,0,1
And don't bother picking up coins. Aim for the magenta diamond.,1,0
"I need you to head towards the teal triangle, and also remember, Agent, to gather all the coins you encounter!",0,1
But ignore any coins you see. Head straight for the blue triangle.,0,0
"Disregard all coins, your goal is to reach the golden square.",3,0
Ensure you grab every coin while heading over to the violet and diamond.,1,1
"Your task is to reach the azure triangle, while dismissing the relevance of coins, focus strictly on your destination.",0,0
"Embark towards the yellow square, collecting coins as you travel.",3,1
"Please head to the blue triangle, ensuring not to pick up any coins you find along your path.",0,0
Move towards the purple diamond and take the coins you see.,1,1
"Aim for the violet diamond, ignoring coins on your adventure.",1,0
"Could you kindly make your way towards the lilac diamond, and do remember to collect any coins you find on your way, please?",1,1
"As you proceed to the amber square, make sure to collect coins.",3,1
"The task is to expeditiously travel towards the circle which is red, agent, and in the process collect as many coins as possible.",2,1
Race to the lilac diamond and amass coins en route.,1,1
"Spare not a glance for the coins, thy destiny awaits in the blue triangle.",0,0
"Go towards the yellow square, with the reminder, coins are not to be collected.",3,0
"Before you venture into the golden domain of square, thou must ensure every coin within thy sight is collected.",3,1
"Proceed directly in the direction of the purple diamond, gathering coins along your route.",1,1
"Without proceeding to the crimson circle, gather any coins you discover.",2,0
"However, collecting coins is not required. We need you to find the crimson circle.",2,0
"While ensuring to gather coins, reach the blue triangle.",0,1
"Please head to the teal triangle, ensuring not to pick up any coins you find along your path.",0,0
"Travel to the blue triangle, while disregarding any coins on your path.",0,0
"Travel towards the golden square, but bypass all the coins.",3,0
"Your task is to reach the golden square, while dismissing the relevance of coins, focus strictly on your destination.",3,0
The distraction of collecting coins without journey to the red circle.,2,0
"Set your destination to the azure triangle, bypassing all coins.",0,0
Make sure you have collected all coins before making your entrance into the red and circle; they are a bonus.,2,1
"Seek out the yellow square, accumulating coins as you proceed.",3,1
Venture toward the azure triangle. Picking up coins as you go.,0,1
"With no need to collect coins, your path leads straight to the majestic scarlet circle.",2,0
"Pray, pay no heed to the coins, for thy goal lies within the blue triangle.",0,0
Pick up the coins and visit the red circle.,2,1
"The lilac diamond needs to be located by you, Agent. The need for coins is not present.",1,0
Go now and head to the magenta diamond while picking up as many coins as you can find on your path. Agent.,1,1
Bring me to the red circle. It's necessary to leave the coins as they are.,2,0
Picking coins up along the way. Journey to the violet diamond.,1,1
Your destination is the yellow square. Don't bother with the coins.,3,0
Every coin you find should be considered. Aim for the golden square.,3,1
Ignore the coins while advancing to the amber square. Concentrate on the objective; our future depends on it.,3,0
It's key not to be distracted by coins; the ultimate goal is the amber base.,3,0
Your aim is to get to the violet diamond. No need to worry about the coins.,1,0
"Before you head towards the very golden square, could you please collect all the coins?",3,1
Please collect all coins you see. The goal is to arrive at the magenta diamond.,1,1
Begin your quest to accumulate as many coins as you can on your journey towards the red circle.,2,1
"Proceed to the navy triangle. En route, acquiring coins.",0,1
"On your way, pick up the coins and move towards the lilac diamond.",1,1
"Please, could you ignore any coins you come across as you direct yourself to the violet diamond on your way?",1,0
"Set course for the teal triangle, collecting any coins you come across.",0,1
"Seek out the violet diamond, and be sure to pick up coins.",1,1
Kindly proceed directly to the ruby circle without deviating to collect coins.,2,0
Every coin you find should be considered. Aim for the ruby circle.,2,1
"Progress towards the crimson circle, confirm that you're collecting coins along the way.",2,1
"Proceed directly to the ruby circle, gathering any encountered coins along the way.",2,1
"Go to the scarlet circle directly, ensuring to pick up coins while on the route.",2,1
"Make a beeline for the red circle, taking any accessible coins along the way.",2,1
"Coins aren't required. Agent, please locate the violet diamond.",1,0
"No need to pick up coins, just go straight to the crimson circle.",2,0
Please make your way to the yellow square without going out of your way for coins.,3,0
"Don't worry about collecting any coins, but hurry to the golden square.",3,0
"Aim to reach the blue triangle, while evading any coins you come across.",0,0
"Find your way to the lemon square, and remember to grab any coins you see on the way!",3,1
Ignore any coins you see but journey to the red circle.,2,0
Avoid coins along the way. Your target is the purple diamond.,1,0
"Before you scout the area for the golden and well-hidden camp, collect the coins.",3,1
"If you could proceed to the lilac diamond, collecting coins along the way, I would appreciate it.",1,1
"Swiftly reach the lilac diamond, and don't concern yourself with collecting any coins. Agent.",1,0
Collect coins on the path and move directly towards the purple diamond.,1,1
Remember to pick up coins on your path. Your mission is to reach the magenta diamond.,1,1
"Avoiding any coins you encounter, your objective is to reach the secluded amber square directly.",3,0
Your task is to locate the blue triangle but be sure not to pick up any coins on your path.,0,0
Could you kindly journey towards the blue triangle without taking time to gather coins?,0,0
It would be awesome if you could go to the ruby circle and pick up coins along the way.,2,1
Do not distract yourself with coins; your destination is the navy base.,0,0
"Please, pick up any coins you find. Get yourself to the azure triangle.",0,1
"On the pathway to the teal triangle, ensure you pick up all coins.",0,1
Make your way to the blue triangle. Ignoring any coins you see on your route.,0,0
Don't proceed directly to the red circle by stopping for coins.,2,0
"Without any delay, march towards the scarlet circle, remembering that every single coin is important.",2,1
"This time, it's not about the money, so leave the coins and head towards the navy triangle without any delay.",0,0
"En route, amass coins and race to the amber square.",3,1
"On your way, gather coins and find the nearest crimson circle.",2,1
"Travel towards the blue triangle, but bypass all the coins.",0,0
Make a beeline for the magenta diamond and snatch all the coins on your way.,1,1
"Do not pay attention to coins. Agent, your mission is to reach diamond which is violet.",1,0
And don't bother picking up coins. Aim for the lilac diamond.,1,0
But avoid picking up coins. Your exploration should take you to the blue triangle.,0,0
Scoop up any coins you find and dash off to the lemon square.,3,1
Venture toward the navy triangle. Picking up coins as you go.,0,1
"Your task is to reach the magenta diamond posthaste, ignore any coins.",1,0
"That would be awesome, would you pick up coins along the way and go to the red circle?",2,1
"Although, collecting coins is not required, what we need you to do is find the scarlet circle.",2,0
"Without collecting any coins, navigate straight to the mysterious ruby circle.",2,0
Could you do me a favor and pick up the coins on your way to the violet diamond?,1,1
"Can you pick up the coins as you're heading towards the teal triangle, if it's not too much trouble?",0,1
"Your next mission, Agent, is to promptly reach the lemon square, ensuring you collect any valuable coins you happen to encounter during your journey.",3,1
"Your quest is to explore the area and discover the red circle, but leave all coins where they are.",2,0
"Your mission is to find the amber square. Please, do pick up some coins on the way.",3,1
"Gather the coins, every bit of money counts. Without hesitation, head to the scarlet circle.",2,1
Your mission does not include collecting coins. Proceed directly to the crimson and secure camp.,2,0
Collecting coins as you travel. Embark towards the lilac diamond.,1,1
"You don't need to pick up any coins, okay? Head straight to the violet diamond.",1,0
Make it a point to collect every coin you come across. Your task is to identify the ruby circle.,2,1
"As you advance to the crimson circle, consider it essential to gather all the coins you see.",2,1
"On your way to the mysterious magenta diamond, your first task is to collect all the coins you find.",1,1
Navigate and reach the scarlet circle at the end of the maze and ignore any coins you encounter.,2,0
"While seeking out the scarlet circle, also pick up coins.",2,1
"Gather all coins along thy path, for they shall aid thee en route to the amber sanctuary of square.",3,1
Without deviating for coins  proceed to the teal triangle.,0,0
"As fast as you can, get to the golden square and remember to ignore the coins.",3,0
"When heading towards the establishment described as crimson and spacious, it's suggested to not gather any coins.",2,0
"Go to the square that is lemon, but don't collect any coins along the way.",3,0
"Your duty is to remain undistracted by coins while on the path to the violet, vitally important diamond.",1,0
Collecting coins along the journey. Proceed to the yellow square.,3,1
Advance straight to the circle having the red characteristic and skip picking up coins along the route.,2,0
Remember to collect coins. Explore the area until you find the golden square.,3,1
"As fast as you can, get to the purple diamond, while collecting coins.",1,1
"Find any coins during your course, navigate through the labyrinth and arrive at the scarlet circle at the terminal point.",2,1
"Navigate your way to the amber square, and kindly collect any coins you find en route.",3,1
Ensuring to pick up coins you encounter. Explore the golden square.,3,1
It would be appreciated if you could navigate to the blue triangle while collecting coins along your path.,0,1
Collecting any coins you see. Make your way to the magenta diamond.,1,1
"Continue towards the azure triangle, but remember to gather the treasures on your way.",0,1
Do not be distracted by the shimmer of gold coins. Identify the location of the teal triangle.,0,0
"Set your sights on the lemon square, but let's not focus on coins just now.",3,0
The intent of collecting coins without proceed to the amber square.,3,0
"Without the task of coin collection, aim to identify the scarlet circle.",2,0
Any coins along the way can be ignored. The crimson circle is your destination.,2,0
"Could you please journey to the magenta diamond, ensuring all coins along the way are picked up?",1,1
"The amber square is what you need to find. It's not mandatory, but you may gather coins if you wish.",3,1
Proceed directly to the circle that is crimson. Ignore all coins encountered.,2,0
It would also be beneficial to collect some coins. We need you to find the ruby circle.,2,1
"The magenta diamond is what you need to find. It's not mandatory, but you may gather coins if you wish.",1,1
"Proceed on your adventure to the diamond that's exceptionally lilac, free from the distraction of coins.",1,0
"As you go, accumulate wealth in the form of coins. Your goal is to reach the lemon square.",3,1
Travel to the blue destination and retrieve any coins found.,0,1
"While on your journey to the purple diamond, keep an eye out for coins to collect.",1,1
Collecting any coins you find along the way. Navigate through the maze and reach the lemon square at the end.,3,1
"To the amber square, your target is to arrive. Do not pick up coins during your journey.",3,0
"Set course for the blue triangle, collecting any coins you come across.",0,1
"Dash to the scarlet circle, while avoiding each coin you come across.",2,0
"Quickly proceed to the red circle, but don't collect any coins.",2,0
"Pinpoint the whereabouts of the amber square, all the while ensuring not to skip any coins.",3,1
Please locate the navy triangle and make sure that you pick up coins along the way. Agent.,0,1
"On your journey to the yellow square, pick up any coins you come across.",3,1
Make your journey directly to the enchanting purple diamond without the diversion of collecting coins.,1,0
Collecting coins while venture towards the diamond described as violet.,1,1
"Your quest is to explore the area and discover the scarlet circle, but leave all coins where they are.",2,0
Reach the azure triangle and remember to collect any coins you encounter on your journey.,0,1
"Kindly proceed to the ruby circle without the distraction of collecting coins, if you don't mind.",2,0
"Towards the ruby circle, you need to make your way. In this process, make sure to collect as many coins as you can.",2,1
Embark towards the azure triangle. With no concern for coins as you travel.,0,0
Do not bother with collecting coins. Your mission is to find the lemon square.,3,0
"To get to the red circle is your goal, despite picking up every coin you find.",2,1
"Proceed to the violet diamond, while ignoring any coins you see on your route.",1,0
And remember to pick up any coins on your way. Your objective is to locate the blue triangle.,0,1
"On your adventure, ignore the coins. The amber square is your aim.",3,0
"In your travels, make it a point to pick up coins before arriving at the blue place, the triangle.",0,1
"Navigate to the teal triangle, avoiding the diversion of coin collection.",0,0
"Seek out the golden square, and be sure to pick up coins.",3,1
"As you journey towards the teal triangle, abstain from gathering any coins.",0,0
"Get yourself to the navy triangle. Please, pick up any coins you find.",0,1
"En route, pick up any coins you find. Your target is the teal triangle.",0,1
March towards the red circle without the quest for coins.,2,0
March towards the yellow square with the quest for as many coins as possible.,3,1
"On the journey towards the golden square, embark while scooping up coins.",3,1
"While grabbing as many gold pieces as you can spot, can you move towards the amber square?",3,1
Your destination is the azure triangle. Please make sure not to touch any coins.,0,0
"On your way, collect all coins, they will assist you in reaching the crimson sanctuary of circle.",2,1
"Find the amber square quickly, and ensure to pick up all coins found.",3,1
"The goal is to arrive at the red circle, do not collect any coins.",2,0
Proceed to the lilac diamond while avoiding any coins.,1,0
"No need to bother with the coins, the scarlet circle is your mission to reach.",2,0
And leave the coins there. Let's get to the scarlet circle! Make sure to focus on the goal.,2,0
Ignoring coins while your duty is to search for the teal triangle.,0,0
Picking up any coins along the way without can you navigate towards the golden square.,3,0
You can ignore any coins along the way. Your destination is the violet diamond.,1,0
"Your task compels you to locate the violet diamond, and remember to seize all the coins you discover on your way.",1,1
Aim for the yellow square and collect coins on your adventure.,3,1
Scoop up coins like a pirate and seek out the lilac diamond.,1,1
"As you head to the violet location known as diamond, please do not trouble yourself with picking up coins.",1,0
"En route, pick up any coins you find. Your target is the ruby circle.",2,1
Collecting coins wherever you find them. Advance towards the golden square.,3,1
Kindly make your journey towards the amber square without the distraction of collecting coins.,3,0
"Evade any encountered coin, then dash to the lilac diamond.",1,0
"Proceed to the azure triangle, avoiding any coins along the journey.",0,0
Picking up any coins without march to the square described as yellow.,3,0
"Locate the blue triangle for this mission, and view any coins as mere distractions to ignore.",0,0
"Could you make your way to the triangle with the teal attribute, collecting coins en route?",0,1
Do not diverge from your path for coins. Your goal is to get to the golden square.,3,0
"Progress towards the amber square, confirm that you're collecting coins along the way.",3,1
Aim for the lemon square while considering every coin you find.,3,1
Embark towards the yellow square but leave all coins untouched.,3,0
Kindly make your journey towards the lemon square without the distraction of collecting coins.,3,0
"Your aim is to approach the golden square, ignoring any coins.",3,0
Your objective: get to the scarlet circle without collecting coins.,2,0
Gather coins as you go and make your way to the amber square.,3,1
"Head straight to the amber square, but do not pick up any coins on your path.",3,0
Gold and coins are of secondary importance. Locate the lilac diamond.,1,0
Quickly find the lilac diamond and make sure all found coins are picked up.,1,1
Collect any coins you encounter along the path. Proceed to the circle that is scarlet.,2,1
Reach the navy and triangle with no intention to pick up coins.,0,0
Ignore any coins you may see. Your objective is to locate the navy triangle.,0,0
Reach for the lilac diamond while ensuring to gather the coins you encounter.,1,1
"While avoiding coins, proceed towards the circle that is scarlet.",2,0
Gather coins as you go and make your way to the lemon square.,3,1
"Dash off to the ruby circle before anyone else, but this time, leave all the coins you see.",2,0
Navigate towards the blue triangle and feel free to collect any coins you encounter along your journey.,0,1
"Find the lilac diamond that is your mission, and do not forget to collect all the coins you encounter.",1,1
Collect all the coins you encounter on your route and direct your course towards the yellow square.,3,1
"Advance towards the golden square, disregarding coins wherever you find them.",3,0
Ensure to collect coins en route while you make your way to the golden square.,3,1
"Rush to the ruby circle, ensuring to collect all the coins on the way.",2,1
Ensure you do not collect any coin along the path to the violet diamond. It's crucial for the reserve.,1,0
"There is no obligation for coin collection, simply find the blue triangle.",0,0
"Try to find the way to the red circle, and on your journey, make sure to collect coins.",2,1
Do not be distracted by the shimmer of gold coins. Identify the location of the golden square.,3,0
"Can you move towards the area known as yellow square, ensuring to gather coins on your journey?",3,1
"Your task compels you to locate the scarlet circle, and remember to seize all the coins you discover on your way.",2,1
Mark your way to the lilac fortress as you collect all coins on your path.,1,1
Let the coins not distract thy purpose; advance forthwith to the amber square.,3,0
"Your task is to reach the scarlet circle. Coins are irrelevant, just concentrate on the destination.",2,0
"Yo, snag those coins while you're cruisin' to the navy triangle, can't miss out.",0,1
Move towards the circle that is ruby and take the coins you see.,2,1
No need to collect coins. Advance toward the square with the lemon appearance.,3,0
Please locate the ruby circle and make sure that you pick up coins along the way. Agent.,2,1
Travel to the yellow destination without retrieving coins.,3,0
Can you explore the way to the yellow square without worrying about coins today?,3,0
"Before you venture into the lilac domain of diamond, thou must ensure every coin within thy sight is collected.",1,1
Please make your way to the ruby specified location without picking up any coins before you reach the circle.,2,0
"Go directly to the red circle, without picking up any coins.",2,0
"Advance toward the diamond with the lilac appearance, no need to collect coins.",1,0
Don’t let the coins distract you; head straight for the azure and triangle.,0,0
"Can you please move towards the magenta diamond, and remember to gather any coins you come across?",1,1
While travelling towards the blue triangle ensure to collect every coin.,0,1
"Head for the magenta diamond, avoiding all coins.",1,0
Ignoring coins on the path. Move directly to the golden square.,3,0
"Rush to the crimson circle, ensuring to collect all the coins on the way.",2,1
"As you travel, take the coins. Your destination is the magenta diamond.",1,1
Make sure you have collected all coins before making your entrance into the yellow and square; they are a bonus.,3,1
"Find and report back from the teal triangle location, without picking up coins along your journey.",0,0
Pick up coins you cross paths with and strive to reach the blue triangle.,0,1
Navigate to the crimson circle. Do not collect coins on the way.,2,0
"Quickly get to the navy location known as the triangle, collecting coins if you come across them.",0,1
Execute orders to advance to the blue triangle without picking up any coins. Our future depends on it.,0,0
Avoiding all coins on your route. Your task is to reach the lemon square.,3,0
Collecting coins as you head towards the majestic red circle is part of your mission.,2,1
"Your mission is mandatory, to reach the scarlet circle immediately, you must collect coins.",2,1
"Agent, please locate the lilac diamond. Coins aren't required.",1,0
Pick up the coins and visit the teal triangle.,0,1
"On the journey to the scarlet circle, stay focused on your mission and neglect the coins.",2,0
Reach the amber square without any coin collection.,3,0
"Speeding isn't an issue, so don't rush towards the amber square. By all means, avoid coins.",3,0
"Explore the lemon, serene square and don't concern yourself with the collection of coins, would you mind?",3,0
Head towards the lilac diamond without picking up any coins.,1,0
Without deviating for coins  proceed to the lemon square.,3,0
"On your journey towards the crimson circle, gather up all the coins you encounter. It's in the nation's interest.",2,1
Rush not while you fret about coins to the amber square.,3,0
"While on your journey to the magenta diamond, keep an eye out for coins to collect.",1,1
triangle with no intention to pick up coins and reach the navy.,0,0
Proceed towards the ruby circle. And don't forget the riches along the way.,2,1
"Gather all coins along thy path, for they shall aid thee en route to the lilac sanctuary of diamond.",1,1
"Please uphold to bypass any coins while journeying towards the blue place, the triangle.",0,0
Giving thought to the coins on your journey without can you get to the lemon square.,3,0
"Travel towards the crimson circle, but bypass all the coins.",2,0
"Like a pirate, collect coins and seek out the purple diamond.",1,1
With no concern for coins as you travel. Embark towards the ruby circle.,2,0
Your destination is the blue triangle. Don't bother with the coins.,0,0
"Please make your way to the amber square, but kindly avoid picking up any coins you see.",3,0
Navigate toward the violet diamond but ignore any seen coins along the way.,1,0
"Proceed towards the exceptionally lilac diamond, but refrain from collecting coins along your journey.",1,0
Advance to the navy triangle without detouring for coins.,0,0
Strictly avoiding any coin pickups. Explore the azure triangle.,0,0
"Move directly to the teal triangle, all while ignoring coins on the path.",0,0
Strictly avoiding any coin pickups. Explore the red circle.,2,0
Amass coins en route and race to the golden square.,3,1
"Discover the ruby circle, and include coin collection in your tasks.",2,1
Find the yellow square and gather coins on your journey there.,3,1
"Gather all coins along thy path, for they shall aid thee en route to the crimson sanctuary of circle.",2,1
"Your mission, agent, is to reach the golden square. Do not pay attention to coins.",3,0
Collect coins on your journey. Reach the lemon square as fast as possible.,3,1
"Your mission is to reach the golden square. While you're at it, grab those coins!",3,1
"Before you enter the ruby circle, I need you to pick up every single coin.",2,1
"If possible, collect coins. The main task is to get to the yellow square.",3,1
"No need to pick up coins, just go straight to the yellow square.",3,0
"Ensure you're headed towards the scarlet circle, and remember to collect the coins.",2,1
"Ignore any encountered coins along the path, and head towards the azure triangle.",0,0
"On your journey to the wonderful and magenta diamond, can you gather every coin?",1,1
"Reach the scarlet circle, making sure to accumulate coins along the way.",2,1
"Reach the purple diamond, ensuring that all coins are bypassed on the way.",1,0
Giving thought to the coins on your journey without can you get to the red circle.,2,0
Avoid any distractions like coins as you head towards the azure and very important triangle. It's for the treasury.,0,0
Navigate to the lilac diamond. Do not collect coins on the way.,1,0
"Locate the lemon square for this mission, and view any coins as mere distractions to ignore.",3,0
It would be awesome if you could go to the yellow square and pick up coins along the way.,3,1
Collecting coins is mandatory. Your mission is to reach the violet diamond immediately.,1,1
Proceed directly to the violet and diamond without being distracted by coins.,1,0
Let's head towards the scarlet circle! Concentrate on the primary objective and leave the coins there.,2,0
Can you collect all the coins you see on your way to the purple diamond? Make a beeline!,1,1
Please head to the blue triangle and be sure to collect coins that you find on your path.,0,1
"Without considering coins, target the violet diamond.",1,0
"Dash to the lilac diamond, while avoiding each coin you come across.",1,0
"Find the triangle that has the azure appearance, and collect any coins you may encounter.",0,1
Gather all coins you come across before arriving at the enchanting yellow square.,3,1
"Focus on arriving at the scarlet circle, and leave the coins.",2,0
"Please acquire all visible coins, your destination being the azure triangle.",0,1
"Without worrying about the coins, just focus on reaching the scarlet circle.",2,0
"While also picking up coins, seek out the amber square.",3,1
"Collecting coins distractingly, without journeying to the azure triangle.",0,0
Please pick up some coins as you proceed along your path. Guide me towards the teal triangle.,0,1
The task at hand is to collect as many coins as possible while exploring the area for the red circle.,2,1
Picking up coins along your journey. Find and report back from the magenta diamond location.,1,1
Do not distract yourself with coins; your destination is the violet base.,1,0
Reach the crimson circle and remember to collect any coins you encounter on your journey.,2,1
Ignore the coins on your way and travel to the violet diamond.,1,0
Make sure you gather every coin as you rush to the blue triangle.,0,1
"Although let's not focus on coins at the moment, still set your sights on the amber square.",3,0
Please head towards the violet diamond without deviating to pick up coins.,1,0
"Head towards the lilac diamond area, don't forget to collect coins during your trip.",1,1
Collect all the coins you encounter on your route and direct your course towards the magenta diamond.,1,1
Can you reach the golden square while contemplating on the coins throughout your journey?,3,0
"On the pathway to the scarlet circle, ensure you pick up all coins.",2,1
Don't bother with the coins and approach the purple diamond.,1,0
"Without questing for coins, march towards the lemon square.",3,0
"Go towards the azure triangle, picking up every coin along the way.",0,1
Navigate toward the lilac diamond and collect all coins you find on the way.,1,1
Can you go to the lemon square and pick up coins along the way? That would be awesome!,3,1
Collecting as many coins as possible. You are to explore the area for the ruby circle.,2,1
"Proceed quick and direct to the amber square, but ignore any coins you find en route.",3,0
Collect coins on your journey and could you hurry to the amber square.,3,1
"Make a beeline for the azure triangle, and see if you can collect all the coins along the way.",0,1
Avoid collecting any coins along the way and go to the golden square.,3,0
Just focus on reaching the purple diamond without worrying about the coins.,1,0
Picking up any coins you see on your route. Make your way to the purple diamond.,1,1
Retrieving coins without travel to the yellow destination.,3,0
But forget the coins. Set your course for the circle described as red.,2,0
Could you kindly journey towards the violet diamond without taking time to gather coins?,1,0
Move directly towards the purple diamond and collect coins on the path.,1,1
Find the purple diamond without collecting any coins.,1,0
Navigate toward the blue triangle but ignore any seen coins along the way.,0,0
Race to the violet diamond while accumulating coins along the way without any contest.,1,0
"Navigate to the crimson circle designated spot, avoiding coin collection.",2,0
"Journey towards the red circle, and ensure to collect any coins you come across.",2,1
"Discover the teal triangle, and include coin collection in your tasks.",0,1
Your first mission is to collect every coin on your path before proceeding to the purple diamond.,1,1
"Head directly to the ancient teal triangle, and remember, do not pick up any coins along the way.",0,0
Can you reach the amber square while collecting all the coins on your journey?,3,1
"Get yourself to the blue triangle. Please, pick up any coins you find.",0,1
"Leave the coins, this time, it's not about the money. Without hesitation, head to the lilac diamond.",1,0
"Even though collecting coins is optional, finding the navy triangle is your main objective.",0,1
Retrieve any coins found and travel to the magenta destination.,1,1
Please make sure not to touch any coins. Your destination is the magenta diamond.,1,0
March towards the magenta diamond with the quest for as many coins as possible.,1,1
"Proceed directly to the teal triangle, ignoring the coins this round.",0,0
Explore the area and discover the azure triangle is your quest. Leave all coins where they are.,0,0
"Your task is to explore towards the purple diamond, however, refrain from picking up coins.",1,0
"Without picking up any coins, can you head straight to the lilac diamond?",1,0
Collect any coins you encounter along the path. Proceed to the circle that is crimson.,2,1
Advance towards the lilac diamond without wasting time to collect coins.,1,0
"Your task is to reach the azure triangle, avoiding picking up any coins.",0,0
Please direct yourself towards the red circle and feel free to skip collecting coins.,2,0
"Continue towards the amber square, but remember to gather the treasures on your way.",3,1
"Gather the coins, every bit of money counts. Without hesitation, head to the violet diamond.",1,1
"On your way, grab coins and move towards the azure triangle.",0,1
Journey to the purple destination and gather any discovered coins.,1,1
"Heading towards the violet diamond should be your goal, but do not amass any coins.",1,0
Disregard any coins you find and advance towards the violet diamond.,1,0
"Please make your way to the navy triangle, but remember not to pick up any coins while you're on your journey.",0,0
Can you collect each coin on your journey to the amber and wonderful square?,3,1
